Value;tweet
Positif;@eajunongyu @PLindungi Makasih banyakk ya ????
Positif;@Shlfzy_ @PLindungi Coba ini Kak barangkali bisa. Punyaku kemarin gak keluar di aplikasi. Pas aku cek di web ternyata muncul  https://t.co/PPCJPmgBDH
Positif;@txtdaridgmbk @PLindungi Betulll... ga perlu perluas fungsi sampe integrasi ke platform e-commerce.
Positif;@KAMegantara @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Inqury capil bukan dari dulu pas ada kesalahan malah ga siap trus lempar2 ke instansi lain. Muhasabah diri ente wey!
Positif;"@sartikalestarii @tQn_faQir @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Singkatannya gaenak bgt si ""peli"""
Positif;@txtdaridgmbk @PLindungi Lah kan bisa log out langsung ???????? Ga ada yg tau jg
Positif;@txtdaridgmbk @PLindungi Kalo kita sign off otomatis mati ya?
Positif;@tQn_faQir @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng [update] barusan install apk peli lagi, sertifikatnya muncul finally setelah percobaan ketiga~
Positif;@tQn_faQir @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng 30 menit, mereka lgsg kirim sertifikatnya (meskipun di apk peli belum ada jg????)   fyi saya vaksin 1 awal sept, vaksin 2 akhir sept.
Positif;@tQn_faQir @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Saya 2 hari lalu kirim email ke sertifikat@pedulilindungi.id dgn mencantumkan informasi nama, nik, no.hp terdaftar vaksin, email di peli, lokasi, tgl vaksin, no. batch vaksin, ss s
Positif;Wajib @PLindungi ya, Wajib dari Vaksin Pertama dan Vaksin ke dua (Kategori Hijau)  https://t.co/2ZPyR08d4p
Positif;@omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Selesai vaksin kedua dpt sertifikat cetak? Muncul 2 nggak vaksinnya? Klo ga muncul, kali2 no KTPnya salah
Positif;@qronoz @ListyoSigitP Untuk skala nasional mungkin bisa dipertimbangkan untuk kolaborasi dengan @PLindungi ???????
Positif;@PLindungi dear admin.. saya mau tau jadwal vaksin kedua saya?? di aplikasi tidak tertera.. mohon informasinya.. saya sampai saat jg belum menerima sms atau wa untuk jadwal vaksin kedua..  https://t.co/LneHH0lF6t
Positif;@HalloMazidaaa @omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng dm saya mba, saya coba cek. In syaa Allaah ku bantu
Positif;@andhikamppp @omrrhmn @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Kalau masnya blm vaksin kedua, langsung vaksin aja di tempat terdekat. yg penting sudah cukup waktunya yaa ???
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Tp vaksin kedua udh belum? Kalau belum, buset vaksin 1 juli masa ampe oktober vaksin 2 belum jg?
Positif;@omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng kesempatan untuk mendapat booster
Positif;@tQn_faQir @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng coba telp 119 ext 9 bang. dulu ai jg ga nongol,ternyata petugas vaksinnya ga daftarin no hp saya.skrg udh nongol deh di app PL
Positif;@omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng punyaku juga udah vaksin kedua tp du apk sertifnya gaada. akhirnya ku email dan udah dibales. aku cek lg udah ada sertifnya
Positif;@PLindungi min mau nanya dong, jd di akun peduli lindungi aku ke log in dua akun aku sama ibu aku (1 nomor) tp yg muncul itu akun ibu aku, gmn ya caranya biar akun aku aja yg muncul gitu? Makasih admin???
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Semoga ke depannya pelayanan publik lebih baik ya.  Padahal kita nya mau vaksin, tapi ternyata di daerah tidak semudah itu utk dapet vaksin pertama. Vaksin kedua jauh lebih mudah.  Bahkan di 
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Dan kebetulan aq tinggal beda pulau sama mama.  Alhamdulillah deh uda dapet vaksin kedua. Setelah telat seminggu.
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Akhirnya hari ini, hari Selasa.. mamaku dateng ke Puskesmas terdekat utk vaksin kedua dan minta input manual.  Aq kasih mamaku screenshot email nya yg info bahwa minta data diinput manual.  P
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Klo via email, tambahan infonya adalah sertifikat yg sudah ada (yg ntah siapa di Depok itu) tetap bisa digunakan.  Aq sempet minta data/sertifikat vaksin kedua direset. Yg aq pahamin sih dari
Positif;@tishoy @PLindungi Gue email tis, jam 10 email lgsg dibales ada berkas yg kurang, gue bales lg lgsg selesai dehh
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Hari Senin dicek masih belum berubah. Aq telpon lagi 119, email juga. Akhirnya diinfo dateng ke tempat vaksin kedua dan minta input secara manual (tidak melalui sistem).  Klo 119 bilangnya, k
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Email dibales diinfo akan diproses dan silakan cek apps atau via web pedulilindungi secara berkala.  Hari Kamis masih blm berubah aq email lagi. Diinfo sedang dalam proses.
Positif;@omrrhmn @andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Cek nya di web bang jangan di apk. Kalo masih blm bisa dm saya, nnt ku bantu.
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Untung dong dapat sertifikat gratis. Hahaha...
Positif;@andhikamppp @tirta_cipeng @PLindungi @KemenkesRI @KawalCOVID19 Ada helpdesk
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Coba kirim Email ke alamat sertifikat@pedulilindungi.id., Mas. Saya kemaren ngurus data punya ortu gegara kesalahan pada nomor HP, respornya bagus ko, langsung dibales &amp
Positif;@pramuktiga @tirta_cipeng @PLindungi @KemenkesRI @KawalCOVID19 Buntung mas ??????  Karena saya merasa vaksin itu perlu. Ini takut malah jadi susah kalau mau vaksin beneran.
Positif;@FloAuriga @PLindungi Ngalir aja kan eksplor, anggep aja petualangan
Positif;@alteraldonsfw @PLindungi Yah ga tau, kan bapak yang ngajak. ????
Positif;"@txtdaridgmbk @PLindungi Kemudian kek gini munculnya...trus klik ""izinkan akses lokasi""  https://t.co/gDoNSJhcyw"
Positif;@txtdaridgmbk @PLindungi Kan dah logout
Positif;@txtdaridgmbk @PLindungi Peduli lindungi tak lebih dari googlemap, hanya kita yang tau posisi kita. Lihat zona di peta tempat kita tinggal, eeh yang muncul peta Jakarta, dia tak tau saya itu di Medan.
Positif;@FloAuriga @PLindungi Oh iya ga jd diajarin ya
Positif;@txtdaridgmbk @PLindungi Baru liat dri podcast DedCor ngobrol ama Nyai ya bang? Ini sih RV hrs terima konsekuensi hukum, kl ga bs membuka pandemi hukum kedepan nya????Ÿ?Ÿ???????
Positif;Semoga kaburnya Rachel Vennya dari karantina. Pelajaran buat @PLindungi agar kembali ke khittah dan fungsi awal sebagai tracing.
Positif;@FloAuriga @PLindungi Di peduli lindungi lu bisa
Positif;@txtdaridgmbk @PLindungi Helloww peduli lindungi ???????????????????
Positif;@txtdaridgmbk @PLindungi Kan katanya aplikasi super ini. Sampe bisa buat bayar2 segala ????
Positif;Hi Lur!  Alternatif buat Sedulur semua yang belum unduh aplikasi PeduliLindungi, bisa membuka melalui Aplikasi yang sudah terintegrasi dengan PeduliLindungi loh. Nah, fitur yang tersedia yaitu Scan QR Code untuk Check in di tempat publik saja.  @PLindungi  https://t.co/SYeQbBf5oN
Positif;@sekarepmuwh @PLindungi ha? kok cepet aku cobak lagi deh semoga cepet direspon yahh
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Iya mas.. ini peraturan nya..  Tp itu aneh bgt sik, kalo ada yg ngevaksin pake data lo.  Dijamin lo ga bakalan bs vaksin shot-2 kalo data nya uda ada yg ngevaksin itu sih.  https://t.co/8hHRH
Positif;@nnwdrjkss @PLindungi Email? Aku tadi email pagi, siang barusan dah dibales siy.
Positif;@andhikamppp @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Gejala sedang-berat emg mas?  Kmren ak jg nunggu 3 bln, tp update aturan baru yg gejaka ringan nunggunya cm 1bulan uda bs vaksin
Positif;@LukakuNoIcardi @PLindungi @KemenkesRI @KawalCOVID19 @tirta_cipeng Belon. Sempet kena covid, jadi jadwal vaksin kedua di november nanti.
Positif;@PLindungi mau tanya pengajuan QR code untuk kantor..
Positif;Semalem mama bilang namanya di sertifikat vaksin ternyata beda sama ktp. Coba nanya lah ke temen yg biasa jd admin vaksin bisa dibenerin lewat puskesmas. Ga bisa ternyata harus email ke @PLindungi. Ga nyangka prosesnya secepat ituu!
Positif;@PLindungi Siang Bapak / Ibu, mohon bantuannya terkait E-mail saya yang sudah saya kirimkan 3 kali ke pedulilindungi@kominfo.go.id, ini terkait vaksin saya, terima kasih. @jokowi
Positif;@elwdchy @salmaakela @kueputugerobak @PLindungi Halooo haloo aku ada update nih, ternyata kalian harus ke DUKCAPIL, sesuai daerah KK masing-masing ya, untuk aktifkan NIK nya di Pcare ???
Positif;@jjeeha_ @PLindungi Haiii haii, itu ternyata setelah aku tanya sama orang yang handle data di tempat vaksin, harus ke DUKCAPIL untuk aktifkan nomor NIK
Positif;Senang akhirnya @5758coffeelab sudah bisa bergabung dgn database @PLindungi .   Sekarang pelacakan kontak sudah tidak harus kami lakukan secara mandiri &amp
Positif;@DioReggy @adanti20 @hrdbacot @PLindungi @taktekbum @univ_indonesia @FASILKOM_UI Halo teman teman! Terima kasih sudah mampir. Akan aku update kalau risetnya sudah selesai ya! By the way bantuan kalian akan sangat membantu. Thanks!
Positif;@DioReggy @jonathanfilbert @hrdbacot @PLindungi @taktekbum @univ_indonesia @FASILKOM_UI mmf tp feelingku terbitnya ntar pas km dah jadi bapak orang sih reg :-(
Positif;@adanti20 @jonathanfilbert @hrdbacot @PLindungi @taktekbum @univ_indonesia @FASILKOM_UI Gasabar nunggu itu jurnal terbit aja sih
Positif;@Zaienal21083362 @PLindungi @ditpromkes @KemenkesRI @satgascovid19id @jokowi @BPJSKesehatanRI @kemkominfo @kominfo_jtg @djikp @KominfoJatim @kominfodiy @ganjarpranowo @KhofifahIP Ayo naik lagi, sebelum problem solvedŸ?? @PLindungi Ayo rame?? aja kita repo
Positif;@FloAuriga @PLindungi pake super speed , biar cepet
Positif;@Jooniesugar @HiManiezz_ @bee_fiera @PLindungi Kemarin aku abis balik lagi ke faskes terkait, dan ternyata ada kesalahan dipenginputan data punyaku. Setelah diperbaiki sama petugasnya, sertif punyaku barusan keluar. Barangkali punyamu juga sama masalahnya
Positif;@HiManiezz_ @bee_fiera @PLindungi Hi nder, aku kemarin abis balik lagi ke faskes yg dulu aku vaksin. Ternyata emang ada kesalahan dipenginputan data punyaku. Alhamdulillah setelah diperbaiki, sertif punyaku barusan keluar. Mungkin punyamu juga sama kayak 
Positif;@Box2BoxBola @PLindungi @BPJSKesehatanRI @BPJSTKinfo @kemkominfo  Tolong Hire Mendy buat jagain database rakyat!!
Positif;@badluckiren @PLindungi okedehh, makasiih yaa
Positif;@iyqchonlo @NOVIEnureka @PLindungi Daftarnya lewat google dlu, nanti klo udah daftar, tinggal masuk lewat app
Positif;@firdageorge @zeanysa @e100ss @PLindungi Saya 2-3 harian berubah balik hijau sendiri mbak.
Positif;@herrrarrra @PLindungi Mbb yaa, sudah dapat kok. Via email, dicoba lagi aja kalau memang belum bisaa ???
Positif;@AgustinMaking @PLindungi Iya syukurlah bro
Positif;@PLindungi selamat malam, untuk perjalan dari luar pulau Jawa tujuan Bandung tiba di Jakarta via pesawat, saat mengisi e-hac kota apa yg harus di isi, Bandung atau Jakarta. Terimaksih
Positif;@qronoz @kemkominfo @KemenkesRI @PLindungi @CCICPolri Ayo kerja kerja kerja
Positif;@KVinz23 @zeanysa @e100ss @PLindungi Mjb Mas, apakah kalau sehabis tes pcr dan belum keluar hasilnya memang akan jadi hitam? Terus tiba2 jadi hijaunya itu setelah nunggu berapa lama? Makasih
Positif;Kepake juga @PLindungi pas ada razia vaksin tadi
Positif;@Syahputra_76 @e100ss @KemenkesRI @PLindungi @pedulilindungi Tunggu dapat SMS di No. HP. anda pada saat pendaftaran vaksin atau cari solusi di mbah google
Positif;@xenon00vd @javasmiley @WanSu73 @PLindungi @KemenkesRI @kemkominfo @ChristaMonic Dari merah dah jadi kuning, padahal sudah vaksin 2. Cuman bodo amat asal ga merah aja mah wkwkwkwm
Positif;@liajli @PLindungi @pedulilindungi Aktif nng Twitter tibak'e awakmu
Positif;@PLindungi Banyak  permasalahan  di  aplikasi ini,belum  semua  bisa  muncul  sertifikasi vaksinya,  ini  sudah  mo  di  tambah  layanan  aplikasi  bisa untuk pembayaran,  huff  aneh,  di  optimalkan  dulu  aplikasinya  min jangan buru2  penambahan  layan
Positif;@dinulaulia @PLindungi @kemkominfo Hai kak,alhamdulilah sudah kembali hijau . Aku menghubungi call centernya dan kirim email ke kominfo berkali kali. Kamu sudah lakuin itu ??
Positif;@listyadesy19 @DUKCAPILKOTASMG @hendrarprihadi @ganjarpranowo @PLindungi Bantu jwb nggih . Coba buka Peduli Lindungi lewat web via PC / laptop . Insyaawoh bisa
Positif;@HiManiezz_ @bee_fiera @PLindungi Okay nder
Positif;@listyadesy19 @DUKCAPILKOTASMG @hendrarprihadi @ganjarpranowo @PLindungi Sudah isi yang di info akun aplikasi peduli lindungi sesuai dgn yg didaftarkan saat vaksin kak? Saya dulu juga begitu karena nomor hp yg didaftarkan harus sesuai dgn yg didaftarkan s
Positif;#SobatVisitingJogja, aplikasi Visiting Jogja kini sudah terintegrasi dengan aplikasi @PLindungi lho.  Jadi #SobatVisitingJogja tinggal reservasi, scaning &amp
Positif;@cat_eyeee @bee_fiera @PLindungi Ntar kalo udah ada sertifnya kasih tau ya, thankyouu infonyaŸ??
Positif;@Henrys_18 @PLindungi Barokalloh
Positif;Selamat siang @DUKCAPILKOTASMG @hendrarprihadi @ganjarpranowo @PLindungi  Saya sudah vaksin 1&amp
Positif;@PKoojas @diahulumi_ @PLindungi Thankyouu yaa???
Positif;@anxmoonl @Arlaaa16 @PLindungi @sriemarni komplain tgl 4 oktober, lgsg dibales hari itu juga  https://t.co/8itXm74Zh7
Positif;@anxmoonl @Arlaaa16 @PLindungi @sriemarni iya kak pake gmail pribadi kita
Positif;@gabisajongkok @PLindungi komplain tgl 4 oktober, lgsg dibales hari itu juga  https://t.co/hMpHWb76hb
Positif;@gabisajongkok @PLindungi pas awal awal emang ga pernah di bales kak, tapi kemarenan aku coba lagi eh responnya cepet
Positif;@SamsolHadi16 @PLindungi Label saya barusan juga udah berubah, bro ????????
Positif;@IyanSins @ikidikii @lentera @4_Huruf @PLindungi AQ kmaren via WA update datanya, dibalas itu wa nya....
Positif;@sahronta @PLindungi sama sama, semoga berhasil
Positif;@yulianiraa @PLindungi Ok trimaksih atas sarannya ????
Positif;@sahronta @PLindungi sertifikat@pedulilindungi.id untuk langkah langkahnya bisa cek di google banyak kok
Positif;@sahronta @PLindungi coba email aja kak, kemaren juga sertifikat saya namanya salah dan sekarang udah bener. siapa tau kalo udah email sertifikat kakak bakal muncul
Positif;@gabisajongkok @PLindungi bantu jawab, udah coba email ke sertifikat@pedulilindungi.id belum kak? soalnya sekarang responnya lumayan cepet ga kayak kemaren kemaren
Positif;@Arlaaa16 @PLindungi @sriemarni udah coba email ke sertifikat@pedulilindungi.id belum kak? waktu itu nama sertifikat saya dan bibi saya salah. terus dibalesnya lumayan cepet dan skrg udah bener
Positif;@HiManiezz_ @diahulumi_ @PLindungi Coba tanyain ke petugas nya aja lagi.
Positif;@HiManiezz_ @diahulumi_ @PLindungi Sekarang alhamdulillah udah ada, kemaren si kaka aku pas vaksin kedua dia bilang sama petugas nya trus disuruh hubungi petugas nya buat dibikinin sertif. Soalnya, ternyata waktu itu petugasnya salah masukin batch vaksin 
Positif;Kementerian Kesehatan RI akan melakukan integrasi data antara aplikasi PeduliLindungi dengan aplikasi Tawakalna bagi calon jemaah umrah asal Indonesia. @KemenkesRI @PLindungi @pedulilindungi #pedulilindungi #Tawakalna  https://t.co/Dzu5Os0AGX
Positif;@Diantari90 @PLindungi Semangat kak, semoga lekas bisa ????????
Positif;Udah download aplikasi pedulilindungi tapi tetep kamu gak peduliin aku . Haaaaaashit
Positif;"@__Sridiana_3va dengan kata di ""download/dipakai"" sepertinya bisa mencapai angka 70jt dok. Karena peduli lindungi ada di shopee, gojek, tokped ???????????? . Jadi yg punya 3 aplikasi itu  di hitung juga sepertinya. Akumulasi ????????????????"
Positif;@radenpippo Malam sahabat, penerbangan rute tersebut apabila sudah melakukan vaksinasi dua kali (dosis lengkap) maka dapat menggunakan hasil rapid test antigen 1x24 jam serta menunjukkan sertifikat vaksinasi dosis lengkap dan mengisi e-HAC pada aplikasi P
Positif;@RiaYunitasari91 Betul Kak, cukup scan aplikasi PeduliLindungi saja
Positif;PeduliLindungi/ Sertifikat kertas) dgn dosis terakhir minimal 14 hari sblm brkt ke Jerman. 3. Penumpang lainnya hny perlu menyertakan hsl tes PCR 72 jam sblm berangkat atau tes antigen 48 jam sebelum berangkat, keduanya dalam bahasa Inggris. Ttp sehat &amp
Positif;Sobat Polri Ayo Ketahui Fungsi Aplikasi PEDULI LINDUNG untuk kita dan keluarga kita ????????  @kepalakepolisian_ri  @humas_poldajateng  @divisihumaspolri  #polisi #pedulilindungi #PolresKlaten #PoldaJateng #Divhumas #polresklatenpeduli  #klaten #polresklaten  https://t.co/4jiDbBXF5L
Positif;@jogmfs Malam sahabat, saat ini calon penumpang kereta Bandara YIA sudah tidak memerlukan STRP/hasil Rapid test antigen. Calon penumpang wajib divaksin minimal dosis pertama, dibuktikan dengan sertifikat vaksin fisik maupun dari aplikasi PeduliLindungi (1
Positif;@jung0neluv ih download PeduliLindungi aja, nanti kamu masukin data data kaya nik gitu. Bakal ada kok bukti vaksin nya 1&amp
Positif;@triwhy0101 Selamat malam Kak. Benar, jika menggunakan KA diwajibkan membawa data vaksinasi melalui aplikasi pedulilindungi atau kartu vaksin minimal dosis pertama. Info lengkapnya, silakan cek link berikut:  https://t.co/Gex6hLrT8U. Trims.
Positif;Tabe klo mauki masuk bioskop kan ada scan pedulilindungi to, nah scannya itu bisaji dari webnya lgsg atau harus dri aplikasi? Soalnya kuhapusmi aplikasi pedllndgiku:(
Positif;@menfesssyg gapenting, yg penting tuh punya app pedulilindungi
Positif;@patriafess Gapapa kayanya pake kartu vaksin yg hardfile, nnti bilang petugasnya di sana. Seminggu yg lalu aku pake hasil PCR soft file dari RS, soalnya blum diinput sm admin pedulilindungi yg di RS
Positif;Tunggu hasil pcr muncul di aplikasi pedulilindungi lebih menegangkan daripada tunggu hasil pengumuman sbmptn???
Positif;@sya_fadhil Hai, Kak. Untuk keberangkatan terakhir dari stasiun MRT Blok A menuju stasiun MRT Bundaran HI adalah jam 20:53 WIB. Kami himbau agar tiba 30 menit lebih awal dan sudah menyiapkan aplikasi PeduliLindungi ya, Kak. Terima kasih.
Positif;Sertifikat Vaksin Bermasalah dan Tidak Muncul di PeduliLindungi? Begini Cara Mengatasinya    https://t.co/Nggve49BUK
Positif;@D_H_E__ Halo Kak, maaf atas ketidaknyamanannya ya. Tenang aja ya, Kak. Kalau belum vaksin atau belum punya aplikasi Peduli Lindungi, Kakak tetap bisa ke Cabang BNI kok. Nanti isi buku registrasi kunjungan saja di cabang dan cek suhu tubuh di bawah 37,5 d
Positif;Di hp mah ada aplikasi peduli lindungi Tapi si dia gak pernah peduli lagi
Positif;@CantonaArief Silakan menunjukkan sertifikat vaksin (minimal dosis I), hasil negatif tes RT-PCR yang diterbitkan maksimal 2x24 jam sebelum keberangkatan oleh Fasyankes yang disebutkan dalam Keputusan Menkes RI, mengisi eHAC, dan mengunduh aplikasi PeduliL
Positif;@CommuterLine @Fikrinugraha9 Bukan hanya pengguna min, petugas juga harusnya ngecekin pedulilindungi contohnya
Positif;Menag RI : Kegiatan Maulid Nabi agar menggunakan Aplikasi PeduliLindungi bagi para peserta.  Baca selengkapnya :  https://t.co/zLAMBrVe9w  https://t.co/bh294Ce05J
Positif;@wildfleurs udah scan peduli lindungi kok ???
Positif;Kabar gembira, Ancol Taman Impian sudah dibuka ????  Tapi, jangan lengah! Main ke Ancol harus Senang Selamat Bareng-bareng dengan tetap patuhi protokol kesehatan selama berkegiatan, siapkan e-tiket, serta aplikasi PeduliLindungi ya, Sob!  Yuk cari tahu cara masuknya lewat video ini  https://t.co/M62AanYx7h
Positif;"@memefess Sama yg bilang ""pi el""..kirain apaan, tau2 nya ""peduli lindungi"""
Positif;[tf] kalo mau nonton di cinepolis apakah harus scan pedulilindungi teman? mohon info thanks Ÿ??
Positif;@gusipkku peduli lindungi nya mana
Positif;#RekanCommuters yang ingin naik KRL diwajibkan menunjukkan sertifikat vaksin melalui aplikasi Peduli Lindungi atau sertifikat vaksin dalam bentuk cetak maupun digital.  https://t.co/57HEhCirJH
